slurm-3483326.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483327.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483328.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483329.out:Memory: vMem 702104 KB, pMem 270592 KB
slurm-3483330.out:Memory: vMem 1226392 KB, pMem 395920 KB
slurm-3483331.out:Memory: vMem 1226392 KB, pMem 395920 KB
slurm-3483332.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483333.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3483334.out:Memory: vMem 2274968 KB, pMem 646624 KB
slurm-3483335.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3483336.out:Memory: vMem 1644960 KB, pMem 922544 KB
slurm-3483337.out:Memory: vMem 1644960 KB, pMem 927904 KB
slurm-3483338.out:Memory: vMem 1644960 KB, pMem 929668 KB
slurm-3483339.out:Memory: vMem 1653156 KB, pMem 1030652 KB
slurm-3483340.out:Memory: vMem 1653156 KB, pMem 1031128 KB
slurm-3483341.out:Memory: vMem 1653156 KB, pMem 1030448 KB
slurm-3483342.out:Memory: vMem 1931692 KB, pMem 1047180 KB
slurm-3483343.out:Memory: vMem 1931692 KB, pMem 1037280 KB
slurm-3483344.out:Memory: vMem 1931692 KB, pMem 1048196 KB
slurm-3483345.out:Memory: vMem 1931692 KB, pMem 876228 KB
slurm-3483346.out:Memory: vMem 1931692 KB, pMem 1063772 KB
slurm-3483347.out:Memory: vMem 1931692 KB, pMem 901156 KB
slurm-3483390.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483391.out:Memory: vMem 284300 KB, pMem 154628 KB
slurm-3483392.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483393.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483394.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483395.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483396.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483397.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483398.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483399.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483400.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483401.out:Memory: vMem 702104 KB, pMem 270592 KB
slurm-3483402.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483403.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483404.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483405.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3483406.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3483407.out:Memory: vMem 2274968 KB, pMem 646624 KB
slurm-3483408.out:Memory: vMem 1644960 KB, pMem 939980 KB
slurm-3483409.out:Memory: vMem 1644960 KB, pMem 911228 KB
slurm-3483410.out:Memory: vMem 1644960 KB, pMem 928672 KB
slurm-3483411.out:Memory: vMem 1653156 KB, pMem 1030768 KB
slurm-3483412.out:Memory: vMem 1653156 KB, pMem 889092 KB
slurm-3483413.out:Memory: vMem 1653156 KB, pMem 1019392 KB
slurm-3483414.out:Memory: vMem 1931692 KB, pMem 1047544 KB
slurm-3483415.out:Memory: vMem 1931692 KB, pMem 1000528 KB
slurm-3483416.out:Memory: vMem 1931692 KB, pMem 1049868 KB
slurm-3483417.out:Memory: vMem 1931692 KB, pMem 940580 KB
slurm-3483418.out:Memory: vMem 1931692 KB, pMem 1049324 KB
slurm-3483419.out:Memory: vMem 1931692 KB, pMem 897732 KB
slurm-3483462.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483463.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483464.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483465.out:Memory: vMem 292496 KB, pMem 173512 KB
slurm-3483466.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483467.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483468.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483469.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483470.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483471.out:Memory: vMem 702104 KB, pMem 270592 KB
slurm-3483472.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483473.out:Memory: vMem 702104 KB, pMem 270604 KB
slurm-3483474.out:Memory: vMem 1226392 KB, pMem 395936 KB
slurm-3483475.out:Memory: vMem 1226392 KB, pMem 395920 KB
slurm-3483476.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483477.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3483478.out:Memory: vMem 2274968 KB, pMem 646640 KB
slurm-3483479.out:Memory: vMem 2274968 KB, pMem 646624 KB
slurm-3483480.out:Memory: vMem 1644960 KB, pMem 927844 KB
slurm-3483481.out:Memory: vMem 1644960 KB, pMem 905248 KB
slurm-3483482.out:Memory: vMem 1644960 KB, pMem 958040 KB
slurm-3483483.out:Memory: vMem 1653156 KB, pMem 1031380 KB
slurm-3483484.out:Memory: vMem 1653156 KB, pMem 1030332 KB
slurm-3483485.out:Memory: vMem 1653156 KB, pMem 1030288 KB
slurm-3483486.out:Memory: vMem 1931692 KB, pMem 1046892 KB
slurm-3483487.out:Memory: vMem 1931692 KB, pMem 1004884 KB
slurm-3483488.out:Memory: vMem 1931692 KB, pMem 846740 KB
slurm-3483489.out:Memory: vMem 1931692 KB, pMem 1051152 KB
slurm-3483490.out:Memory: vMem 1931692 KB, pMem 1050728 KB
slurm-3483491.out:Memory: vMem 1931692 KB, pMem 1055040 KB
slurm-3483534.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483535.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483536.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483537.out:Memory: vMem 292496 KB, pMem 173512 KB
slurm-3483538.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483539.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483540.out:Memory: vMem 439960 KB, pMem 207236 KB
slurm-3483541.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483542.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483543.out:Memory: vMem 702104 KB, pMem 270592 KB
slurm-3483544.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483545.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483546.out:Memory: vMem 1226392 KB, pMem 395936 KB
slurm-3483547.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483548.out:Memory: vMem 1226392 KB, pMem 395936 KB
slurm-3483549.out:Memory: vMem 2274968 KB, pMem 646636 KB
slurm-3483550.out:Memory: vMem 2274968 KB, pMem 646636 KB
slurm-3483551.out:Memory: vMem 2274968 KB, pMem 646640 KB
slurm-3483552.out:Memory: vMem 1644960 KB, pMem 1045236 KB
slurm-3483553.out:Memory: vMem 1644960 KB, pMem 914044 KB
slurm-3483554.out:Memory: vMem 1644960 KB, pMem 1001456 KB
slurm-3483555.out:Memory: vMem 1653156 KB, pMem 1030812 KB
slurm-3483556.out:Memory: vMem 1653156 KB, pMem 1015580 KB
slurm-3483557.out:Memory: vMem 1653156 KB, pMem 1041716 KB
slurm-3483558.out:Memory: vMem 1931692 KB, pMem 1050744 KB
slurm-3483559.out:Memory: vMem 1931692 KB, pMem 939852 KB
slurm-3483560.out:Memory: vMem 1931692 KB, pMem 988036 KB
slurm-3483561.out:Memory: vMem 1931692 KB, pMem 1051916 KB
slurm-3483562.out:Memory: vMem 1931692 KB, pMem 1023876 KB
slurm-3483563.out:Memory: vMem 1931692 KB, pMem 929624 KB
